MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.4846132989976137,24.0,8.900649951973751,3.9202988083617245,1907.0,3.6456878693288948,37.6309022038102,-123.74392978191776,2.175713077360809
2.5367097046483957,51.0,6.643192644975681,3.428365829722393,1020.0,4.371319658568098,40.321267287856244,-123.13935314539812,1.602995601625584
3.757839792580996,10.0,9.025676038807163,3.410527127655626,2491.0,3.5729224534546917,36.017829724039494,-122.5105771261604,1.954417723402232
5.8212494929083896,8.0,3.0381059643418338,1.0623761987606242,1574.0,4.160801789127611,34.32290248105872,-122.70525376316223,2.280772921083878
2.4179578315254786,21.0,3.2462224207211765,1.6887425011043102,990.0,2.859072040803619,37.92217246921413,-121.53507517967114,1.7598825734321322
2.4179776803497446,6.0,9.3827511554572,2.623998096644105,3451.0,3.814922211585905,37.99475420033186,-119.68599942926211,1.5053801162117328
5.987095528199461,21.0,8.427323509201411,2.402901034848929,356.0,4.029130310015111,40.275926063915676,-120.46869516995964,2.234638364121837
3.9897052842469014,39.0,6.154942407752699,2.0914742527010577,2655.0,3.6326268827506274,41.73071325297286,-115.53882603165633,1.5277099830713106
2.149559219709109,24.0,8.27527092034591,4.45153712909238,2521.0,3.023331858208694,33.97005583379096,-118.18496061063979,1.7183416703621661
3.5654134496317527,33.0,9.689476232063951,4.262600032582105,1785.0,3.377598328846104,38.529360526816426,-115.6766286753625,1.7949817035448008
2.156078696615597,18.0,8.404626667168994,3.4984940031974703,1049.0,3.6015209870366407,39.2908675076758,-118.99312641328281,1.481884737126777
2.1535876442865214,28.0,8.896599336728254,4.106731648435075,3351.0,2.259253209664281,41.879311481362436,-123.14623052845127,1.5825748392050056
3.067862717060499,52.0,8.324246069730432,3.123609797226448,977.0,3.928737782744954,41.51201682135375,-119.59876923386886,1.6157198984877574
1.0443136523983056,32.0,4.177477647034792,1.994419943857134,859.0,4.35097361690182,39.55583150005181,-116.19069080499753,0.957608799658908
1.147448846497781,12.0,8.835018767520157,3.251014870846667,1962.0,2.895717945539808,37.935209995577964,-122.15601421191248,1.3018686017040393
2.0520847659124186,48.0,4.36576174016947,2.1737518678216508,2004.0,3.603201549329632,34.87295333954372,-123.13346435184982,1.5391360737533843
1.6381776579440481,42.0,9.248279296309029,3.053675696149265,2278.0,3.711077717371062,36.76550071923755,-120.87036998578652,1.7147288010110264
3.180771146513633,27.0,6.210549286567531,2.069752483709647,648.0,3.4867426425644408,38.47353976298581,-120.30547060891867,1.6591731868348154
1.726313072281937,10.0,7.7388372661772,3.1475011339238734,1390.0,3.1413453249859065,39.664203371063905,-121.09055207414391,1.5157711152198905
1.3415801683544264,46.0,6.480685935164504,2.457659817914146,2677.0,4.144943863724432,38.90089623857246,-122.71521253656672,1.439039028203668
5.65660780303637,52.0,3.657936505916214,1.6257141085405622,2541.0,2.8467801278066833,39.5700438155358,-121.61702133264372,2.5070153483307513
2.428106777434253,42.0,5.035056153344655,1.8090313601138956,1478.0,1.6833088694598106,37.14779628869113,-117.51831715627995,1.702886081062163
2.811629201497702,32.0,9.886122977979042,3.155306365303521,2019.0,4.033669127136481,39.684831969853576,-120.33367909521495,1.7914913278968938
1.333258448024995,42.0,9.725003261688721,3.8019177573438316,2613.0,3.521943816949652,34.72180067616761,-117.99078027612371,1.629188671785737
